Author,Comment,Like_Count,Published_At
@billiang2,alahıım çıldırıcam anlayamıyorum ama anlıom sa,1,2024-05-07T13:36:36Z
@mehmetakifsimsek8862,Sen rahat olll,1,2024-05-05T12:49:25Z
@Fehime590,Hocam gerçekten o kadar matamatikmi izledim sizin gibi pratik     çozen olmadı ve anladım❤ abone ve like aticam kesin,4,2024-05-02T07:34:37Z
@elifgizem5250,6.51 de p(4) &#39;ü bulmak için x yerine 5 yazılması gerekmiyo mu,0,2024-04-29T20:26:17Z
@liamlevan,konu anlatımından sonra gelen sorulardan bişey anlamadım ama güzeldi,2,2024-04-24T10:54:44Z
@Hedeflervehayaller-mj9gu,Sen adammsın be hocam❤❤❤❤❤,1,2024-04-23T05:53:23Z
@yokvar7127,"<a href=""https://www.youtube.com/watch?v=Po09E7MDf-w&amp;t=1200"">20:00</a> bu kısmı anlamadım+5 nereden geldi -1 in küpü falan anlayan biri anlatabilir mi",1,2024-04-22T16:12:51Z
@UmranCetene,Hocam PDF linki atabilirmisiniz,1,2024-04-20T11:24:31Z
@cansr3530,hocam karslımısınız diyarbakırlı mı,1,2024-04-13T05:25:46Z
@gamzzee.k,"<a href=""https://www.youtube.com/watch?v=Po09E7MDf-w&amp;t=1189"">19:49</a>  hocam burada nasıl bölme yaptık acaba anlatabilir misiniz anlayamadım da",4,2024-04-06T05:56:48Z
@mochilitta,Hocam heykelinizi yapsak beton yetmez muhteşemsiniz,3,2024-04-04T19:40:28Z
@fearful_cr7,Cideen bise anlayan var mi,2,2024-04-02T16:45:09Z
@Ahmet.Aslan1903,Allah razı olsun 2 saatte anlamadığımı anladım,7,2024-03-27T03:07:43Z
@yarenben,ASLAN HOCAM ANLADIM,3,2024-03-26T17:27:37Z
@kozmos2258,Bu adam aynı ben ya,2,2024-03-12T17:14:02Z
@melisazengin,pesinizden at mi kovaliyo az yavas anlatin,1,2024-03-03T16:49:33Z
@selin8843,Hocam ben malım mat yapamıyorum ama sizi izlemek cok eğlenceli,7,2024-03-03T16:10:04Z
@talhaarslan4060,"HOCAM AAA AHA BEN BOĞULDUM NEFES ALIN, SEVİLİYORSUNUZ. HARİKA ANLATIMM",0,2024-03-01T11:49:01Z
@HmM-qm7vb,Gece saat 2 ve ben ve benim gibi binlerce genç kız ve  bugün berat kandili nelerden feda ettiğini allah görüyor sakin vazgeçme kızım inan bana iki ay sonra buraya gelip basardim diyeceksin hayırlısıyla allah sana bu mutluluğu nasip edecek ama sakın vazgecme umudunu kaybetme allah seninle beraber,193,2024-02-24T22:56:08Z
@ahmedoktay5401,matematikin gıler yızii,1,2024-02-23T15:17:17Z
@hiraii11111,6. Soru 97/2 mi çıkıyor?,3,2024-02-15T17:49:38Z
@Emreeeee3700,"<a href=""https://www.youtube.com/watch?v=Po09E7MDf-w&amp;t=800"">13:20</a> de minnet eylemem giriyor",1,2024-02-13T13:44:42Z
@Homotruckdriver,Ya hocam ben normal bölme bile yapamiyorum bir de polinom bolmesi cikti,1,2024-02-11T04:16:00Z
@suzangul1,Hocam sakin olun,4,2024-01-23T06:26:30Z
@kubraa_._,❤❤,1,2024-01-09T17:30:43Z
@Sayin.Karahanli,hangileri doğrudur hepsi yanlıştırr devaaaaam,2,2024-01-08T10:46:28Z
@YKS-in2zz,"Az önce 600tl verdiğim özel dersten çıkıp hiç bir şey anlamadığım için buraya geldim hocanın 1,5 saatte anlayamadığını matematiğin güler yüzü 20 dk anlattı sağolun hocam",221,2024-01-05T08:38:02Z
@Billoner_,"<a href=""https://www.youtube.com/watch?v=Po09E7MDf-w&amp;t=1037"">17:17</a> de x yerine -2 yazmamız gerekmezmiydi bilen biri aydılatabilirmi",1,2023-12-05T15:23:55Z
@amineyldrm27,Hocam muhteşemsiniz ❤,3,2023-10-09T13:42:41Z
@bengeldim2332,Polinom bölmesi senin de sıran gelicek bekle,13,2023-06-17T19:03:36Z
@serife5616,Hocam her konuda dinlerim ve anlarım ama bu konuda hiç anlamadım sorun bende galiba niye böyle oldu ya,9,2023-06-17T18:43:40Z
@inci9506,Mantık bu olay bu,3,2023-06-15T18:45:22Z
@meryemkrtss1,"<a href=""https://www.youtube.com/watch?v=Po09E7MDf-w&amp;t=463"">7:43</a> hocam 3. Dereceden polinomun kökler toplamını orda nasıl bulduk ?",2,2023-06-14T20:37:36Z
@ahmtt3,hocam çok güzel anlatmışsınız ama tüm bildiklerimi unutmuşum :(,9,2023-06-14T20:29:47Z
@ykstayfa2023,❤❤❤❤❤❤❤❤❤❤❤❤❤,1,2023-06-14T08:52:33Z
@svm4373,Boyyle cikmiuor,0,2023-06-10T11:17:22Z
@furkanbzkrt21,Sondan 2. Soruyu nasıl 3 e bölerek (x-1) ³ bulduk anlamadım,2,2023-06-09T14:22:12Z
@PKPeadBS,Hocam harika anlatmışsınız,4,2023-06-09T05:21:29Z
@yks2024z,Hiç polinom bilmeyen biri bile sizden dinleyince anlar hocam baş tacısınız✨💅🏼,36,2023-06-08T19:29:04Z
@yusufaykut8864,Bu soruları yapabilyor olsam sınav hep bu tarzmı soruyor bilgi verirseniz çok sevinirim,4,2023-06-08T15:08:27Z
@doktoreda3162,Teşekkürler hocam 💕,7,2023-06-08T14:39:39Z
@firuzzeynalov6056,Sag olun hocamm. Tekrar icin sizden iyisi yok,8,2023-06-07T21:43:40Z
@dilaraclb,Arkadaşlar sizce sınavda böylemi cikar,0,2023-06-07T20:30:36Z
@zerdaarslan865,Mantık bu olay bu ghhbjbn,1,2023-06-07T08:59:51Z
@forlaww,mantık bu olay bu,6,2023-06-07T08:18:52Z
@futbolonya7,Gençler sınav iptal edilecekmiş ya yorumlayın artık ertelendi 😂,3,2023-06-07T05:12:34Z
@lexandra6980,04.00 soruyu yanlış yaptınız galiba,1,2023-06-06T22:44:06Z
@slasahin2749,hocam fonksiyonlar da gelsin lütfenn,0,2023-06-06T22:09:13Z
@turcoooo4786,Beyler bu adamın attığı bu şu dakika da şu konu videoları verimlimi benim polinom um iyi değil ama bu adamı dinlesem yapılırmı sorular,3,2023-06-06T20:47:57Z
@EdanurBalbal-ne4sz,Tyt matamatikte gelsin,5,2023-06-06T20:47:49Z
@rumeysahasklc1092,hocam pdf yok mu,2,2023-06-06T20:23:52Z
@ardawalker5575,supaaaa videooo,0,2023-06-06T20:11:42Z
@okuyucu23_23,"<a href=""https://www.youtube.com/watch?v=CmG4gjt4Uao"">https://youtu.be/CmG4gjt4Uao</a><br><br>Âşık Veysel&#39;i anma ve kutlama yılı",1,2023-06-06T19:48:39Z
@bugrad0,Arkadaşlar polinom bende sıfır sınavın zorluğun gecen sene gibi gelirse sizce bu video ile 1 net yapılırmı polinomlarda,0,2023-06-06T19:43:20Z
@kevserkedikoglu9150,hocam deli dehşet güzel bir seriiii,1,2023-06-06T19:33:03Z
@Sumeyyeshsjsjs,Videoyu izlerken telefon burnuma düştü kanadı yks bana bir burun borçlu jghgjghjhkj,17,2023-06-06T19:11:42Z
@mevlutkaya01,Hocam böyle videolar MÜKEMMEL aynen devam 🎉,31,2023-06-06T19:02:28Z
@Cheshire___Cat,hocam lütfen permitasyon kombinasyon binom hocam yardımm,11,2023-06-06T18:55:36Z
@fizikfalann,O sırada 2021 ayt polinom sorusu : Şaka mı yapıyorsun canım ?,29,2023-06-06T18:54:44Z
@Canafacan134,Sağolun hocam sayenizde 0 netten +2 nete yükselttim matematiğimi,671,2023-06-06T18:53:40Z
@Burak-ur1ow,Yine mükemmel bir video 👏,7,2023-06-06T18:52:52Z
